year,birth_number
2015,3978497
2014,3988076
2013,3932181
2012,3952841
2011,3953590
2010,3999386
2009,4130665
2008,4247694
2007,4316233
2006,4265555
2005,4138349
2004,4112052
2003,4089950
2002,4021726
2001,4025933
2000,4058814
1999,3959417
1998,3941553
1997,3880894
1996,3891494
1995,3899589
1994,3952767
1993,4000240
1992,4065014
1991,4110907
1990,4158212
1989,4040958
1988,3909510
1987,3809394
1986,3756547
1985,3760561
1984,3669141
1983,3638933
1982,3680537
1981,3629238
1980,3612258
1979,3494398
1978,3333279
1977,3326632
1976,3167788
1975,3144198
1974,3159958
1973,3136965
1972,3258411
1971,3555970
1970,3731386
1969,3600206
1968,3501564
1967,3520959
1966,3606274
1965,3760358
1964,4027490
1963,4098020
1962,4167362
1961,4268326
1960,4257850
1959,4244796
1958,4246000
1957,4300000
1956,4210000
1955,4097000
1954,4071000
1953,3959000
1952,3909000
1951,3820000
1950,3632000
1949,3649000
1948,3637000
1947,3817000
1946,3411000
1945,2858000
1944,2939000
1943,3104000
1942,2989000
1941,2703000
1940,2559000
1939,2466000
1938,2496000
1937,2413000
1936,2355000
1935,2377000
1934,2396000
1933,2307000
1932,2440000
1931,2506000
1930,2618000
1929,2582000
1928,2674000
1927,2802000
1926,2839000
1925,2909000
1924,2979000
1923,2910000
1922,2882000
1921,3055000
1920,2950000
1919,2740000
1918,2948000
1917,2944000
1916,2964000
1915,2965000
1914,2986000
1913,2869000
1912,2840000
1911,2809000
1910,2777000
1909,2718000